HHID,plotid,gardenid,crop_code,plotareaHA,harvest_Qua_per_crop,km_cluster,yield_kg_per_ha
00D9C6845EFE47E3B1DBCCCCC62916A6,1,2,PIGEONPEA(NANDOLO),0.303525,1707.767,2,5626.44580078125
00D9C6845EFE47E3B1DBCCCCC62916A6,1,2,GROUND BEAN(NZAMA),0.101175,1269.5206,2,12547.76953125
00DD4453CD8544B6A44B15EFB5F5EE82,1,1,MAIZE,0.8094,0.0,1,0.0
00DD4453CD8544B6A44B15EFB5F5EE82,2,4,BEANS,0.4047,0.0,1,0.0
00DD4453CD8544B6A44B15EFB5F5EE82,1,4,SOYABEAN,0.4047,370.6449,1,915.8509521484375
00DD4453CD8544B6A44B15EFB5F5EE82,1,4,SOYABEAN,0.8094,61.77415,1,76.32091522216797
00E0C56F73634444B24CFFDAD75FE86E,1,1,MAIZE,0.60705,1235.483,6,2035.2244873046875
00E1D81A31B64B90B0DC678C059A721D,2,2,RICE,0.101175,0.0,0,0.0
00E1D81A31B64B90B0DC678C059A721D,1,1,MAIZE,0.101175,0.0,0,0.0
00E1D81A31B64B90B0DC678C059A721D,1,2,PEARL MILLET(MCHEWERE),0.303525,912.9311,0,3007.762451171875
00E1D81A31B64B90B0DC678C059A721D,1,2,PIGEONPEA(NANDOLO),0.303525,212.66783,0,700.6600341796875
00E1D81A31B64B90B0DC678C059A721D,1,2,PIGEONPEA(NANDOLO),0.303525,140.47238,0,462.8033447265625
00E29ED68A564B0FB4362260265AB25A,1,2,MAIZE,0.4047,1853.2246,0,4579.25537109375
